File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_NDVI_doy2009065_aid0001,_500m_16_days_NDVI,aid0001,2009-03-06,3620.0,-0.1903,0.8014,"(-0.1903,0.8014)",0.353567,0.1463652,0.0214228,0.439,0.6785,0.3688,0.041,0.2789
MOD13A1_006__500m_16_days_NDVI_doy2009081_aid0001,_500m_16_days_NDVI,aid0001,2009-03-22,3638.0,-0.2,0.7486,"(-0.2,0.7486)",0.3771149,0.1431891,0.0205031,0.462575,0.6978,0.3897,0.0695,0.3049
MOD13A1_006__500m_16_days_NDVI_doy2009097_aid0001,_500m_16_days_NDVI,aid0001,2009-04-07,3649.0,-0.1703,0.7511,"(-0.1703,0.7511)",0.3879493,0.1441144,0.0207689,0.4757,0.7156,0.4023,0.067,0.3116
MOD13A1_006__500m_16_days_NDVI_doy2009113_aid0001,_500m_16_days_NDVI,aid0001,2009-04-23,3657.0,-0.1842,0.7747,"(-0.1842,0.7747)",0.4248514,0.1484795,0.0220462,0.5201,0.7506,0.4506,0.1029,0.353
MOD13A1_006__500m_16_days_NDVI_doy2009129_aid0001,_500m_16_days_NDVI,aid0001,2009-05-09,3657.0,-0.1915,0.8241,"(-0.1915,0.8241)",0.4832542,0.1580879,0.0249918,0.5904,0.8241,0.5034,0.1388,0.4096
MOD13A1_006__500m_16_days_NDVI_doy2009145_aid0001,_500m_16_days_NDVI,aid0001,2009-05-25,3662.0,-0.1819,0.8469,"(-0.1819,0.8469)",0.4947042,0.1612233,0.0259929,0.6011,0.8469,0.5124,0.149,0.4174
MOD13A1_006__500m_16_days_NDVI_doy2009353_aid0001,_500m_16_days_NDVI,aid0001,2009-12-19,3606.0,-0.0418,0.951,"(-0.0418,0.951)",0.4257281,0.1553955,0.0241478,0.528225,0.831,0.4337,0.0222,0.32475
MOD13A1_006__500m_16_days_NDVI_doy2010001_aid0001,_500m_16_days_NDVI,aid0001,2010-01-01,3637.0,-0.1525,0.8793,"(-0.1525,0.8793)",0.2988564,0.1881934,0.0354168,0.4416,0.8793,0.2993,-0.1525,0.1468
MOD13A1_006__500m_16_days_NDVI_doy2010017_aid0001,_500m_16_days_NDVI,aid0001,2010-01-17,3613.0,-0.056,0.8214,"(-0.056,0.8214)",0.405875,0.1670258,0.0278976,0.5254,0.8214,0.4395,-0.056,0.2759
MOD13A1_006__500m_16_days_NDVI_doy2010033_aid0001,_500m_16_days_NDVI,aid0001,2010-02-02,3646.0,-0.0901,0.8065,"(-0.0901,0.8065)",0.4196235,0.1408442,0.0198371,0.5108,0.7731,0.4297,0.0718,0.3347
