File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_EVI_doy2015145_aid0001,_500m_16_days_EVI,aid0001,2015-05-25,1617.0,0.0823,0.7302,"(0.0823,0.7302)",0.3858563,0.1918001,0.0367873,0.5709,0.7302,0.4018,0.0823,0.1891
MOD13A1_006__500m_16_days_EVI_doy2015353_aid0001,_500m_16_days_EVI,aid0001,2015-12-19,1617.0,0.0255,0.5024,"(0.0255,0.5024)",0.2277161,0.1201439,0.0144345,0.3367,0.5024,0.2274,0.0255,0.1141
MOD13A1_006__500m_16_days_EVI_doy2016001_aid0001,_500m_16_days_EVI,aid0001,2016-01-01,1617.0,-0.0093,0.4972,"(-0.0093,0.4972)",0.2103412,0.1104348,0.0121958,0.3014,0.4972,0.2163,-0.0093,0.1048
MOD13A1_006__500m_16_days_EVI_doy2016017_aid0001,_500m_16_days_EVI,aid0001,2016-01-17,1617.0,0.015,0.5041,"(0.015,0.5041)",0.2038275,0.1093141,0.0119496,0.301,0.5041,0.2092,0.015,0.0967
MOD13A1_006__500m_16_days_EVI_doy2016033_aid0001,_500m_16_days_EVI,aid0001,2016-02-02,1617.0,0.006,0.4524,"(0.006,0.4524)",0.2091429,0.109005,0.0118821,0.3068,0.4524,0.2206,0.006,0.1015
MOD13A1_006__500m_16_days_EVI_doy2016049_aid0001,_500m_16_days_EVI,aid0001,2016-02-18,1617.0,0.0326,0.4366,"(0.0326,0.4366)",0.1817312,0.0916989,0.0084087,0.2647,0.4366,0.1883,0.0326,0.0929
MOD13A1_006__500m_16_days_EVI_doy2016065_aid0001,_500m_16_days_EVI,aid0001,2016-03-05,1617.0,0.0324,0.3875,"(0.0324,0.3875)",0.18213,0.0822642,0.0067674,0.252,0.3875,0.2078,0.0324,0.0985
MOD13A1_006__500m_16_days_EVI_doy2016097_aid0001,_500m_16_days_EVI,aid0001,2016-04-06,1617.0,0.0605,0.4535,"(0.0605,0.4535)",0.2470168,0.1079695,0.0116574,0.3475,0.4535,0.2781,0.0605,0.1388
MOD13A1_006__500m_16_days_EVI_doy2016113_aid0001,_500m_16_days_EVI,aid0001,2016-04-22,1617.0,0.0585,0.5433,"(0.0585,0.5433)",0.3056189,0.1390099,0.0193238,0.4306,0.5433,0.3407,0.0585,0.1573
MOD13A1_006__500m_16_days_EVI_doy2016129_aid0001,_500m_16_days_EVI,aid0001,2016-05-08,1617.0,0.0634,0.6464,"(0.0634,0.6464)",0.3482481,0.16977,0.0288219,0.5156,0.6464,0.355,0.0634,0.1767
