File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_EVI_doy2011113_aid0001,_500m_16_days_EVI,aid0001,2011-04-23,315.0,0.2232,0.6606,"(0.2232,0.6606)",0.5330225,0.1038429,0.0107834,0.6085,0.6606,0.5569,0.3296,0.4969
MOD13A1_006__500m_16_days_EVI_doy2011129_aid0001,_500m_16_days_EVI,aid0001,2011-05-09,315.0,0.2289,0.7246,"(0.2289,0.7246)",0.5154422,0.1095694,0.0120054,0.58415,0.7246,0.5332,0.2781,0.4595
MOD13A1_006__500m_16_days_EVI_doy2011145_aid0001,_500m_16_days_EVI,aid0001,2011-05-25,315.0,0.2032,0.6586,"(0.2032,0.6586)",0.4616917,0.1051622,0.0110591,0.5453,0.6586,0.4638,0.2032,0.37885
MOD13A1_006__500m_16_days_EVI_doy2011353_aid0001,_500m_16_days_EVI,aid0001,2011-12-19,315.0,0.1425,0.4816,"(0.1425,0.4816)",0.2852965,0.06677,0.0044582,0.3328,0.4536,0.2674,0.1425,0.2392
MOD13A1_006__500m_16_days_EVI_doy2012001_aid0001,_500m_16_days_EVI,aid0001,2012-01-01,315.0,0.1148,0.4383,"(0.1148,0.4383)",0.2457308,0.0704651,0.0049653,0.29965,0.4383,0.247,0.1148,0.1866
MOD13A1_006__500m_16_days_EVI_doy2012017_aid0001,_500m_16_days_EVI,aid0001,2012-01-17,315.0,0.1188,0.4365,"(0.1188,0.4365)",0.2373562,0.0643422,0.0041399,0.28235,0.4171,0.2274,0.1188,0.18495
MOD13A1_006__500m_16_days_EVI_doy2012033_aid0001,_500m_16_days_EVI,aid0001,2012-02-02,315.0,0.0214,0.1996,"(0.0214,0.1996)",0.0965978,0.0387992,0.0015054,0.1245,0.1996,0.092,0.0214,0.0643
MOD13A1_006__500m_16_days_EVI_doy2012049_aid0001,_500m_16_days_EVI,aid0001,2012-02-18,315.0,0.1399,0.4031,"(0.1399,0.4031)",0.2710067,0.0554069,0.0030699,0.3108,0.4031,0.2767,0.1399,0.2284
MOD13A1_006__500m_16_days_EVI_doy2012065_aid0001,_500m_16_days_EVI,aid0001,2012-03-05,315.0,0.1165,0.4397,"(0.1165,0.4397)",0.2620365,0.0622252,0.003872,0.3016,0.4218,0.2574,0.1165,0.21955
MOD13A1_006__500m_16_days_EVI_doy2012081_aid0001,_500m_16_days_EVI,aid0001,2012-03-21,315.0,0.1482,0.5613,"(0.1482,0.5613)",0.2924781,0.0785707,0.0061734,0.3473,0.5034,0.2797,0.1482,0.234
